Crop,Crop_Year,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
Moong(Green Gram),2005,Rabi       ,2,4028,2184.6,900839.04,1577.52,0.44037037
Niger seed,2005,Kharif     ,2,3984,2184.6,884290.08,1548.54,0.529545455
Onion,2005,Whole Year ,2,4077,2184.6,926501.92,1622.46,2.373333333
Other  Rabi pulses,2005,Rabi       ,2,9231,2184.6,11026044.4,19308.45,0.533703704
Peas & beans (Pulses),2005,Rabi       ,2,5896,2184.6,2143570.0,3753.75,0.618518519
Potato,2005,Whole Year ,2,8674,2184.6,8350988.96,14623.98,5.326296296
Rapeseed &Mustard,2005,Rabi       ,2,10816,2184.6,25479522.32,44618.91,0.469259259
Rice,2005,Autumn     ,2,11822,2184.6,47766054.72,83646.36,1.132222222
Rice,2005,Summer     ,2,11473,2184.6,37735346.32,66080.91,1.637692308
Rice,2005,Winter     ,2,13149,2184.6,204744212.8,358541.4,1.502592593
Sesamum,2005,Kharif     ,2,5323,2184.6,1662570.88,2911.44,0.487777778
Small millets,2005,Kharif     ,2,4074,2184.6,925062.88,1619.94,0.504814815
Sugarcane,2005,Whole Year ,2,6446,2184.6,2809245.92,4919.46,37.99444444
Sweet potato,2005,Whole Year ,2,3945,2184.6,871698.48,1526.49,3.405555556
Tapioca,2005,Whole Year ,2,2149,2184.6,333017.84,583.17,4.458518519
Tobacco,2005,Whole Year ,2,653,2184.6,78787.44,137.97,0.504074074
Turmeric,2005,Whole Year ,2,4927,2184.6,1392391.12,2438.31,0.728888889
Urad,2005,Rabi       ,2,7317,2184.6,4242289.92,7428.96,0.488888889
Wheat,2005,Rabi       ,2,7954,2184.6,5991323.12,10491.81,1.084230769
Arecanut,2005,Whole Year ,12,10363,1316.2,19325227.92,33841.71,6.212380952
Arhar/Tur,2005,Kharif     ,12,12358,1316.2,71938089.28,125975.64,0.5968
Bajra,2005,Kharif     ,12,11945,1316.2,51552288.88,90276.69,0.80875
Bajra,2005,Rabi       ,12,92,1316.2,9353.76,16.38,1.33
Bajra,2005,Summer     ,12,883,1316.2,109966.64,192.57,1.22
Banana,2005,Whole Year ,12,7691,1316.2,5223955.04,9148.02,15.48037037
Black pepper,2005,Whole Year ,12,5466,1316.2,1774456.24,3107.37,2.199230769
Cardamom,2005,Whole Year ,12,6131,1316.2,2376094.88,4160.94,0.05875
Castor seed,2005,Kharif     ,12,6581,1316.2,2995721.52,5246.01,1.086666667
Coconut ,2005,Whole Year ,12,11816,1316.2,47474529.2,83135.85,4165.660741
Coriander,2005,Whole Year ,12,4412,1316.2,1098826.96,1924.23,0.125714286
Cotton(lint),2005,Whole Year ,12,11880,1316.2,49564135.2,86795.1,1.503333333
Dry chillies,2005,Kharif     ,12,9760,1316.2,13916356.24,24369.87,0.830384615
Dry chillies,2005,Rabi       ,12,2231,1316.2,349087.12,611.31,1.676538462
Dry chillies,2005,Summer     ,12,3754,1316.2,805262.8,1410.15,2.696923077
Garlic,2005,Whole Year ,12,3132,1316.2,591325.52,1035.51,1.287333333
Ginger,2005,Whole Year ,12,6313,1316.2,2598546.48,4550.49,12.82411765
Gram,2005,Rabi       ,12,11898,1316.2,50170810.48,87857.49,0.522
Groundnut,2005,Kharif     ,12,12740,1316.2,104055063.7,182217.84,0.562
Groundnut,2005,Rabi       ,12,10489,1316.2,20670370.56,36197.28,0.9764
Horse-gram,2005,Kharif     ,12,9895,1316.2,14954263.84,26187.42,0.609166667
Horse-gram,2005,Rabi       ,12,10156,1316.2,17332037.6,30351.3,0.453461538
Jowar,2005,Kharif     ,12,11524,1316.2,38756824.88,67869.69,1.426190476
Jowar,2005,Rabi       ,12,12950,1316.2,142853500.8,250160.4,0.714761905
Jowar,2005,Summer     ,12,3424,1316.2,684503.36,1198.68,1.587142857
Linseed,2005,Rabi       ,12,5196,1316.2,1577427.68,2762.34,0.316666667
Maize,2005,Kharif     ,12,12709,1316.2,101001780.6,176871.03,3.1212
Maize,2005,Rabi       ,12,8995,1316.2,9787990.32,17140.41,3.341304348
Maize,2005,Summer     ,12,4989,1316.2,1437840.8,2517.9,3.096666667
Mesta,2005,Whole Year ,12,1752,1316.2,251472.24,440.37,1.568
Moong(Green Gram),2005,Kharif     ,12,11803,1316.2,47157340.8,82580.4,0.242173913
Moong(Green Gram),2005,Rabi       ,12,4064,1316.2,918347.36,1608.18,0.29125
Niger seed,2005,Kharif     ,12,7198,1316.2,3979425.28,6968.64,0.212173913
Onion,2005,Kharif     ,12,10058,1316.2,16350372.48,28632.24,6.543913043
Onion,2005,Rabi       ,12,4799,1316.2,1307128.0,2289.0,10.36952381
Onion,2005,Summer     ,12,2793,1316.2,488674.0,855.75,16.31842105
Other  Rabi pulses,2005,Rabi       ,12,6927,1316.2,3494109.04,6118.77,0.118888889
Other Kharif pulses,2005,Kharif     ,12,10255,1316.2,18212010.56,31892.28,0.279583333
Peas & beans (Pulses),2005,Kharif     ,12,2834,1316.2,500546.08,876.54,5.612105263
Peas & beans (Pulses),2005,Rabi       ,12,679,1316.2,82265.12,144.06,7.193333333
Peas & beans (Pulses),2005,Summer     ,12,535,1316.2,62958.0,110.25,5.036875
Potato,2005,Kharif     ,12,8608,1316.2,8109350.16,14200.83,3.381333333
Potato,2005,Rabi       ,12,3324,1316.2,649486.72,1137.36,17.84
Potato,2005,Summer     ,12,338,1316.2,38014.64,66.57,15.45
Ragi,2005,Kharif     ,12,12759,1316.2,106007361.3,185636.64,1.4915
Ragi,2005,Rabi       ,12,7795,1316.2,5555054.16,9727.83,2.493076923
Ragi,2005,Summer     ,12,4216,1316.2,998094.16,1747.83,2.144285714
Rapeseed &Mustard,2005,Rabi       ,12,3759,1316.2,808140.88,1415.19,0.227142857
Rice,2005,Kharif     ,12,12897,1316.2,129033080.6,225958.53,2.50962963
Rice,2005,Rabi       ,12,7746,1316.2,5389684.48,9438.24,2.2675
Rice,2005,Summer     ,12,11711,1316.2,43680140.48,76491.24,3.0144
Safflower,2005,Rabi       ,12,8976,1316.2,9706924.4,16998.45,0.694375
Sannhamp,2005,Whole Year ,12,228,1316.2,24583.6,43.05,0.215
Sesamum,2005,Kharif     ,12,9487,1316.2,12335211.04,21601.02,0.879615385
Small millets,2005,Kharif     ,12,8058,1316.2,6268578.16,10977.33,0.5485
Soyabean,2005,Kharif     ,12,10023,1316.2,16002724.4,28023.45,0.556666667
Sugarcane,2005,Whole Year ,12,10875,1316.2,26557723.04,46507.02,90.63772727
Sunflower,2005,Kharif     ,12,12484,1316.2,79288465.76,138847.38,0.5125
Sunflower,2005,Rabi       ,12,12560,1316.2,86676257.28,151784.64,0.8724
Sunflower,2005,Summer     ,12,7690,1316.2,5213282.16,9129.33,0.829047619
Sweet potato,2005,Whole Year ,12,2464,1316.2,402451.52,704.76,6.076153846
Tapioca,2005,Whole Year ,12,815,1316.2,100852.72,176.61,9.59
Tobacco,2005,Whole Year ,12,9431,1316.2,12087696.16,21167.58,0.646
Turmeric,2005,Whole Year ,12,3631,1316.2,761012.32,1332.66,5.556363636
Urad,2005,Kharif     ,12,9430,1316.2,12084698.16,21162.33,0.19
Urad,2005,Rabi       ,12,4691,1316.2,1252564.4,2193.45,0.473333333
Wheat,2005,Rabi       ,12,11089,1316.2,30290352.96,53043.48,0.880714286
Arecanut,2005,Whole Year ,13,9628,3030.9,13022112.8,22803.9,0.958571429
Banana,2005,Whole Year ,13,8394,3030.9,7363088.0,12894.0,8.060714286
Black pepper,2005,Whole Year ,13,10971,3030.9,28540720.16,49979.58,0.239285714
Cardamom,2005,Whole Year ,13,7593,3030.9,4960730.64,8687.07,0.065
Cashewnut,2005,Whole Year ,13,8917,3030.9,9387937.2,16439.85,0.621428571
Coconut ,2005,Whole Year ,13,12768,3030.9,107668133.4,188544.93,6500.859286
Cotton(lint),2005,Kharif     ,13,2089,3030.9,318387.6,557.55,1.3
Garlic,2005,Whole Year ,13,77,3030.9,7794.8,13.65,17.0
Ginger,2005,Whole Year ,13,5037,3030.9,1466141.92,2567.46,3.258571429
Groundnut,2005,Kharif     ,13,2439,3030.9,395616.08,692.79,0.74
Jowar,2005,Kharif     ,13,1962,3030.9,293804.0,514.5,0.2525
Other Cereals,2005,Kharif     ,13,18,3030.9,1319.12,2.31,1.91
Ragi,2005,Kharif     ,13,432,3030.9,49646.88,86.94,0.81
Rice,2005,Autumn     ,13,9380,3030.9,11782859.52,20633.76,2.096923077
Rice,2005,Summer     ,13,6331,3030.9,2621091.44,4589.97,2.345714286
Rice,2005,Winter     ,13,10298,3030.9,18663029.68,32682.09,2.189285714
Sesamum,2005,Kharif     ,13,602,3030.9,71952.0,126.0,0.314545455
Sugarcane,2005,Whole Year ,13,1129,3030.9,146542.24,256.62,66.14538462
Sweet potato,2005,Whole Year ,13,699,3030.9,85263.12,149.31,11.48692308
Tapioca,2005,Whole Year ,13,9197,3030.9,10857436.88,19013.19,28.00928571
Tobacco,2005,Whole Year ,13,53,3030.9,5156.56,9.03,1.6
Turmeric,2005,Whole Year ,13,2479,3030.9,405809.28,710.64,2.211428571
Arecanut,2005,Whole Year ,17,4918,3374.4,1379919.44,2416.47,1.245714286
Arhar/Tur,2005,Kharif     ,17,780,3374.4,96415.68,168.84,0.796666667
Banana,2005,Whole Year ,17,3657,3374.4,770605.92,1349.46,10.22428571
Castor seed,2005,Kharif     ,17,43,3374.4,3957.36,6.93,0.693333333
Cotton(lint),2005,Kharif     ,17,3927,3374.4,867141.52,1518.51,1.046666667
Dry chillies,2005,Whole Year ,17,1597,3374.4,223171.12,390.81,0.8
Ginger,2005,Kharif     ,17,4513,3374.4,1154230.0,2021.25,6.558571429
Gram,2005,Rabi       ,17,533,3374.4,62718.16,109.83,0.6
Jute,2005,Kharif     ,17,2768,3374.4,481718.64,843.57,7.11
Linseed,2005,Rabi       ,17,92,3374.4,9353.76,16.38,0.47
Maize,2005,Kharif     ,17,5758,3374.4,2026408.16,3548.58,1.481428571
Mesta,2005,Kharif     ,17,2954,3374.4,531965.12,931.56,4.563333333
Other  Rabi pulses,2005,Rabi       ,17,1789,3374.4,259386.96,454.23,0.775714286
Potato,2005,Whole Year ,17,5910,3374.4,2156881.12,3777.06,7.768571429
Rapeseed &Mustard,2005,Rabi       ,17,3915,3374.4,862944.32,1511.16,0.62
Rice,2005,Autumn     ,17,7164,3374.4,3918745.76,6862.38,1.597142857
Rice,2005,Summer     ,17,4559,3374.4,1174136.72,2056.11,2.245
Rice,2005,Winter     ,17,8478,3374.4,7627151.84,13356.42,1.971428571
Sesamum,2005,Kharif     ,17,1442,3374.4,195109.84,341.67,0.578333333
Small millets,2005,Kharif     ,17,2098,3374.4,320186.4,560.7,0.955714286
Sugarcane,2005,Whole Year ,17,94,3374.4,9593.6,16.8,2.342
Sweet potato,2005,Whole Year ,17,3157,3374.4,596602.0,1044.75,3.391428571
Tapioca,2005,Whole Year ,17,2748,3374.4,478360.88,837.69,6.392857143
Tobacco,2005,Whole Year ,17,708,3374.4,86462.32,151.41,0.562
Turmeric,2005,Whole Year ,17,1566,3374.4,217894.64,381.57,5.621428571
Wheat,2005,Rabi       ,17,665,3374.4,80346.4,140.7,1.306666667
Arecanut,2005,Whole Year ,24,3078,1364.1,572378.16,1002.33,1.212727273
Arhar/Tur,2005,Kharif     ,24,7431,1364.1,4529258.48,7931.49,0.6375
Bajra,2005,Kharif     ,24,9004,1364.1,9824446.0,17204.25,1.3144
Banana,2005,Whole Year ,24,9299,1364.1,11350188.16,19876.08,48.51965517
Black pepper,2005,Whole Year ,24,2640,1364.1,449100.4,786.45,0.173076923
Cardamom,2005,Whole Year ,24,3118,1364.1,586049.04,1026.27,0.072727273
Cashewnut,2005,Whole Year ,24,9571,1364.1,12718595.28,22272.39,0.368571429
Castor seed,2005,Kharif     ,24,4235,1364.1,1006248.72,1762.11,0.313333333
Coconut ,2005,Whole Year ,24,11730,1364.1,44432158.8,77808.15,11777.93172
Coriander,2005,Whole Year ,24,6265,1364.1,2525755.04,4423.02,0.296956522
Cotton(lint),2005,Kharif     ,24,9657,1364.1,13160260.64,23045.82,1.643703704
Dry chillies,2005,Whole Year ,24,7915,1364.1,5880037.36,10296.93,0.797241379
Garlic,2005,Whole Year ,24,444,1364.1,51325.76,89.88,5.854
Ginger,2005,Kharif     ,24,655,1364.1,79147.2,138.6,19.31714286
Gram,2005,Rabi       ,24,3494,1364.1,708367.44,1240.47,0.493125
Groundnut,2005,Kharif     ,24,12413,1364.1,74210693.2,129955.35,1.91
Horse-gram,2005,Kharif     ,24,8359,1364.1,7244966.8,12687.15,0.3724
Jowar,2005,Kharif     ,24,11483,1364.1,37927578.08,66417.54,0.897083333
Maize,2005,Kharif     ,24,10750,1364.1,24323373.6,42594.3,0.0
Mesta,2005,Kharif     ,24,2,1364.1,119.92,0.21,0.0
Moong(Green Gram),2005,Kharif     ,24,10064,1364.1,16392944.08,28706.79,0.383571429
Niger seed,2005,Kharif     ,24,635,1364.1,76508.96,133.98,0.0
Onion,2005,Whole Year ,24,6931,1364.1,3497946.48,6125.49,8.07826087
Other Kharif pulses,2005,Kharif     ,24,8656,1364.1,8274360.08,14489.79,0.366923077
Potato,2005,Whole Year ,24,3170,1364.1,600199.6,1051.05,15.32
Ragi,2005,Kharif     ,24,9402,1364.1,11937916.08,20905.29,1.621923077
Rapeseed &Mustard,2005,Rabi       ,24,538,1364.1,63317.76,110.88,0.25
Rice,2005,Kharif     ,24,13234,1364.1,245890563.6,430595.55,2.895517241
Sannhamp,2005,Kharif     ,24,17,1364.1,1199.2,2.1,0.0
Sesamum,2005,Kharif     ,24,8545,1364.1,7808950.56,13674.78,0.414444444
Small millets,2005,Kharif     ,24,7556,1364.1,4840690.72,8476.86,0.77375
Soyabean,2005,Kharif     ,24,628,1364.1,75549.6,132.3,0.0
Sugarcane,2005,Whole Year ,24,11579,1364.1,40220808.24,70433.37,102.4842857
Sunflower,2005,Kharif     ,24,5784,1364.1,2045355.52,3581.76,1.18037037
Sweet potato,2005,Whole Year ,24,1279,1364.1,169926.64,297.57,20.8868
Tapioca,2005,Whole Year ,24,9934,1364.1,15244470.24,26695.62,38.21481481
Tobacco,2005,Whole Year ,24,3210,1364.1,611831.84,1071.42,1.451
Turmeric,2005,Whole Year ,24,6675,1364.1,3114322.4,5453.7,5.547037037
Urad,2005,Kharif     ,24,10843,1364.1,25836524.16,45244.08,0.403571429
Arecanut,2005,Whole Year ,29,4463,1650.1,1122810.96,1966.23,2.821176471
Arhar/Tur,2005,Rabi       ,29,1575,1650.1,219453.6,384.3,0.885
Bajra,2005,Kharif     ,29,66,1650.1,6595.6,11.55,0.5
Barley,2005,Rabi       ,29,1934,1650.1,288167.76,504.63,1.121666667
Cardamom,2005,Whole Year ,29,2208,1650.1,344650.08,603.54,0.24
Castor seed,2005,Rabi       ,29,55,1650.1,5396.4,9.45,0.82
Coconut ,2005,Whole Year ,29,6567,1650.1,2984089.28,5225.64,11972.035
Cotton(lint),2005,Kharif     ,29,1345,1650.1,180599.52,316.26,2.22
Dry chillies,2005,Whole Year ,29,8041,1650.1,6230683.44,10910.97,1.055
Ginger,2005,Kharif     ,29,4071,1650.1,922664.48,1615.74,1.726111111
Gram,2005,Rabi       ,29,7547,1650.1,4801356.96,8407.98,0.8
Groundnut,2005,Whole Year ,29,7905,1650.1,5854254.56,10251.78,1.565
Horse-gram,2005,Rabi       ,29,2162,1650.1,335776.0,588.0,0.475454545
Jowar,2005,Kharif     ,29,1296,1650.1,172564.88,302.19,0.436666667
Jute,2005,Kharif     ,29,12258,1650.1,67027844.96,117376.98,14.95882353
Khesari,2005,Rabi       ,29,7202,1650.1,3987699.76,6983.13,0.780588235
Linseed,2005,Rabi       ,29,3736,1650.1,799506.64,1400.07,0.302
Maize,2005,Kharif     ,29,8744,1650.1,8604619.76,15068.13,2.601764706
Masoor,2005,Rabi       ,29,8398,1650.1,7374240.56,12913.53,0.612777778
Mesta,2005,Kharif     ,29,4673,1650.1,1242131.36,2175.18,11.78285714
Moong(Green Gram),2005,Kharif     ,29,712,1650.1,86942.0,152.25,0.565
Moong(Green Gram),2005,Rabi       ,29,1274,1650.1,169207.12,296.31,0.648
Moong(Green Gram),2005,Summer     ,29,4464,1650.1,1122930.88,1966.44,0.35125
Niger seed,2005,Kharif     ,29,3182,1650.1,603557.36,1056.93,0.45875
Other Kharif pulses,2005,Kharif     ,29,825,1650.1,102411.68,179.34,0.5375
Peas & beans (Pulses),2005,Rabi       ,29,5189,1650.1,1574669.52,2757.51,0.936470588
Potato,2005,Whole Year ,29,11670,1650.1,42506243.6,74435.55,19.345
Ragi,2005,Kharif     ,29,5108,1650.1,1513510.32,2650.41,0.868
Rapeseed &Mustard,2005,Rabi       ,29,11912,1650.1,50544241.36,88511.43,0.796666667
Rice,2005,Autumn     ,29,11322,1650.1,34552429.68,60507.09,2.116111111
Rice,2005,Summer     ,29,13024,1650.1,165724283.4,290210.97,2.767222222
Rice,2005,Winter     ,29,13533,1650.1,493214531.0,863701.23,2.317222222
Safflower,2005,Rabi       ,29,342,1650.1,38494.32,67.41,0.5525
Sannhamp,2005,Whole Year ,29,1156,1650.1,150739.44,263.97,5.41625
Sesamum,2005,Whole Year ,29,10210,1650.1,17823469.76,31211.88,0.854705882
Small millets,2005,Kharif     ,29,1763,1650.1,253390.96,443.73,0.744285714
Small millets,2005,Rabi       ,29,1087,1650.1,140306.4,245.7,1.245
Soyabean,2005,Kharif     ,29,579,1650.1,68714.16,120.33,0.605
Sugarcane,2005,Whole Year ,29,5499,1650.1,1802517.52,3156.51,80.03066667
Sunflower,2005,Kharif     ,29,5078,1650.1,1495762.16,2619.33,1.175
Tobacco,2005,Whole Year ,29,5327,1650.1,1664969.28,2915.64,0.791666667
Turmeric,2005,Whole Year ,29,4968,1650.1,1420332.48,2487.24,2.017777778
Urad,2005,Kharif     ,29,7895,1650.1,5828711.6,10207.05,0.492352941
Urad,2005,Rabi       ,29,4265,1650.1,1020998.88,1787.94,0.808181818
Wheat,2005,Rabi       ,29,11717,1650.1,43978141.68,77013.09,1.953333333
Arecanut,2006,Kharif     ,21,75,1434.5875,8045.73,13.86,1.3
Arecanut,2006,Whole Year ,21,75,1434.5875,8045.73,13.86,1.3
Banana,2006,Kharif     ,21,327,1434.5875,38951.55,67.1,22.23666667
Black pepper,2006,Kharif     ,21,19,1434.5875,1532.52,2.64,0.58
Cotton(lint),2006,Summer     ,21,68,1434.5875,7279.47,12.54,0.75
Dry chillies,2006,Kharif     ,21,2,1434.5875,127.71,0.22,2.0
Dry chillies,2006,Rabi       ,21,7,1434.5875,510.84,0.88,2.0
Dry chillies,2006,Summer     ,21,7,1434.5875,510.84,0.88,2.335
Groundnut,2006,Rabi       ,21,687,1434.5875,89013.87,153.34,1.6
Jowar,2006,Summer     ,21,7,1434.5875,510.84,0.88,1.75
Onion,2006,Rabi       ,21,2,1434.5875,127.71,0.22,4.0
Onion,2006,Summer     ,21,4,1434.5875,255.42,0.44,5.0
Rice,2006,Kharif     ,21,3173,1434.5875,639827.1,1102.2,2.64
Rice,2006,Rabi       ,21,4999,1434.5875,1540310.31,2653.42,4.05
Rice,2006,Summer     ,21,3019,1434.5875,584145.54,1006.28,3.05
Sesamum,2006,Rabi       ,21,154,1434.5875,17113.14,29.48,0.5
Sugarcane,2006,Kharif     ,21,2002,1434.5875,319275.0,550.0,112.3
Tapioca,2006,Kharif     ,21,376,1434.5875,45592.47,78.54,26.93
Arecanut,2006,Rabi       ,17,5005,2454.7,1542864.51,2657.82,1.254285714
Banana,2006,Kharif     ,17,3655,2454.7,820153.62,1412.84,10.31714286
Castor seed,2006,Rabi       ,17,43,2454.7,4214.43,7.26,0.693333333
Cotton(lint),2006,Rabi       ,17,3919,2454.7,920533.68,1585.76,1.05
Dry chillies,2006,Rabi       ,17,1606,2454.7,238817.7,411.4,0.958571429
Ginger,2006,Kharif     ,17,4518,2454.7,1230996.69,2120.58,7.088571429
Gram,2006,Rabi       ,17,545,2454.7,68452.56,117.92,0.6
Jute,2006,Rabi       ,17,2735,2454.7,506625.57,872.74,7.056666667
Linseed,2006,Rabi       ,17,96,2454.7,10472.22,18.04,0.48
Maize,2006,Kharif     ,17,5780,2454.7,2176050.69,3748.58,1.541428571
Mesta,2006,Kharif     ,17,2947,2454.7,565116.75,973.5,4.566666667
Other  Rabi pulses,2006,Rabi       ,17,1793,2454.7,276747.57,476.74,0.76
Potato,2006,Rabi       ,17,5940,2454.7,2320873.83,3998.06,8.212857143
Rapeseed &Mustard,2006,Rabi       ,17,3940,2454.7,927302.31,1597.42,0.657142857
Rice,2006,Autumn     ,17,7165,2454.7,4173435.09,7189.38,1.641428571
Rice,2006,Rabi       ,17,4572,2454.7,1258454.34,2167.88,2.077142857
Rice,2006,Winter     ,17,8409,2454.7,7886347.92,13585.44,1.852857143
Sesamum,2006,Rabi       ,17,1449,2454.7,208805.85,359.7,0.58
Small millets,2006,Rabi       ,17,2072,2454.7,335238.75,577.5,0.977142857
Soyabean,2006,Kharif     ,17,998,2454.7,134350.92,231.44,0.972857143
Sugarcane,2006,Whole Year ,17,103,2454.7,11110.77,19.14,2.348
Sweet potato,2006,Rabi       ,17,3140,2454.7,631781.37,1088.34,3.238571429
Tapioca,2006,Kharif     ,17,2752,2454.7,509946.03,878.46,6.318571429
Tobacco,2006,Rabi       ,17,697,2454.7,90546.39,155.98,0.58
Turmeric,2006,Rabi       ,17,1635,2454.7,244181.52,420.64,6.125714286
Wheat,2006,Rabi       ,17,652,2454.7,83777.76,144.32,1.32
Arecanut,2006,Whole Year ,0,280,845.2,32566.05,56.1,0.685
Arhar/Tur,2006,Kharif     ,0,11814,845.2,50527695.24,87041.68,0.420454545
Arhar/Tur,2006,Rabi       ,0,3384,845.2,715942.26,1233.32,0.433333333
Bajra,2006,Kharif     ,0,7913,845.2,6257151.45,10778.9,0.7375
Bajra,2006,Rabi       ,0,5005,845.2,1542864.51,2657.82,0.824545455
Banana,2006,Whole Year ,0,7966,845.2,6422025.06,11062.92,26.19809524
Cashewnut,2006,Whole Year ,0,10163,845.2,18530082.45,31920.9,0.2375
Castor seed,2006,Kharif     ,0,10747,845.2,25822834.29,44483.78,0.444117647
Coconut ,2006,Whole Year ,0,9552,845.2,13415041.53,23109.46,11710.48222
Coriander,2006,Whole Year ,0,6622,845.2,3240641.25,5582.5,0.495
Cotton(lint),2006,Kharif     ,0,12827,845.2,124109344.3,213797.32,2.080952381
Dry chillies,2006,Kharif     ,0,10406,845.2,21057591.06,36274.92,3.297727273
Dry chillies,2006,Rabi       ,0,7917,845.2,6266601.99,10795.18,3.181363636
Ginger,2006,Whole Year ,0,1954,845.2,311484.69,536.58,3.558
Gram,2006,Rabi       ,0,12362,845.2,76848853.95,132383.9,1.465
Groundnut,2006,Kharif     ,0,12916,845.2,141327717.3,243458.6,0.874545455
Groundnut,2006,Rabi       ,0,10914,845.2,29067051.42,50072.44,1.98
Horse-gram,2006,Kharif     ,0,4665,845.2,1316817.81,2268.42,0.435
Horse-gram,2006,Rabi       ,0,8116,845.2,6858410.13,11814.66,0.4105
Jowar,2006,Kharif     ,0,10382,845.2,20825414.28,35874.96,0.90952381
Jowar,2006,Rabi       ,0,11128,845.2,33121333.08,57056.56,1.494545455
Linseed,2006,Rabi       ,0,2179,845.2,361419.3,622.6,0.266
Maize,2006,Kharif     ,0,12209,845.2,68415396.39,117855.98,2.942727273
Maize,2006,Rabi       ,0,10641,845.2,24286866.12,41837.84,6.363181818
Mesta,2006,Kharif     ,0,8412,845.2,7904482.74,13616.68,8.692222222
Moong(Green Gram),2006,Kharif     ,0,11034,845.2,31457527.2,54190.4,0.312727273
Moong(Green Gram),2006,Rabi       ,0,10194,845.2,18849229.74,32470.68,0.597142857
Niger seed,2006,Kharif     ,0,5432,845.2,1857797.37,3200.34,0.4225
Onion,2006,Kharif     ,0,5995,845.2,2375533.71,4092.22,15.37055556
Onion,2006,Rabi       ,0,5072,845.2,1588584.69,2736.58,19.59105263
Other  Rabi pulses,2006,Rabi       ,0,5465,845.2,1889086.32,3254.24,0.443125
Other Kharif pulses,2006,Kharif     ,0,4648,845.2,1301364.9,2241.8,0.298666667
Potato,2006,Whole Year ,0,2598,845.2,465502.95,801.9,12.436
Ragi,2006,Kharif     ,0,7990,845.2,6475152.42,11154.44,1.205
Ragi,2006,Rabi       ,0,4186,845.2,1049776.2,1808.4,1.621818182
Rapeseed &Mustard,2006,Rabi       ,0,3314,845.2,687973.77,1185.14,0.285
Rice,2006,Kharif     ,0,13352,845.2,337265507.7,580991.4,2.689090909
Rice,2006,Rabi       ,0,13008,845.2,170750824.2,294144.4,3.036818182
Safflower,2006,Rabi       ,0,5391,845.2,1826508.42,3146.44,0.50125
Sesamum,2006,Kharif     ,0,8948,845.2,10146431.79,17478.78,0.213809524
Sesamum,2006,Rabi       ,0,7253,845.2,4362956.73,7515.86,0.311
Small millets,2006,Kharif     ,0,7230,845.2,4300761.96,7408.72,0.5475
Small millets,2006,Rabi       ,0,379,845.2,45975.6,79.2,0.6225
Soyabean,2006,Kharif     ,0,9474,845.2,13090658.13,22550.66,1.191111111
Sugarcane,2006,Whole Year ,0,11174,845.2,33757967.43,58153.26,86.37380952
Sunflower,2006,Whole Year ,0,12002,845.2,56919453.03,98052.46,0.896363636
Sweet potato,2006,Whole Year ,0,947,845.2,127326.87,219.34,8.821764706
Tapioca,2006,Whole Year ,0,6119,845.2,2519973.72,4341.04,8.95
Tobacco,2006,Whole Year ,0,10655,845.2,24497587.62,42200.84,4.163571429
Urad,2006,Kharif     ,0,9007,845.2,10474135.65,18043.3,0.339473684
Urad,2006,Rabi       ,0,11888,845.2,53090068.68,91455.76,0.793636364
Wheat,2006,Rabi       ,0,4607,845.2,1279143.36,2203.52,0.68
Arecanut,2006,Whole Year ,2,8660,1774.9,8825271.84,15202.88,0.817037037
Arhar/Tur,2006,Kharif     ,2,3740,1774.9,852591.96,1468.72,0.706666667
Banana,2006,Whole Year ,2,7677,1774.9,5523457.5,9515.0,13.70814815
Castor seed,2006,Kharif     ,2,1190,1774.9,166406.13,286.66,0.4636
Coconut ,2006,Whole Year ,2,5994,1774.9,2374767.45,4090.9,6233.948519
Cotton(lint),2006,Kharif     ,2,1247,1774.9,175473.54,302.28,0.518461538
Dry chillies,2006,Whole Year ,2,5554,1774.9,1973502.63,3399.66,0.633703704
Gram,2006,Rabi       ,2,1625,1774.9,242010.45,416.9,0.486666667
Jute,2006,Kharif     ,2,8267,1774.9,7364141.73,12685.86,9.352962963
Linseed,2006,Rabi       ,2,4168,1774.9,1043262.99,1797.18,0.484583333
Maize,2006,Kharif     ,2,6001,1774.9,2382685.47,4104.54,0.6252
Masoor,2006,Rabi       ,2,6173,1774.9,2571696.27,4430.14,0.5184
Mesta,2006,Kharif     ,2,3107,1774.9,620670.6,1069.2,4.6988
Moong(Green Gram),2006,Rabi       ,2,3984,1774.9,941733.54,1622.28,0.444074074
Niger seed,2006,Kharif     ,2,4611,1774.9,1280803.59,2206.38,0.53
Onion,2006,Whole Year ,2,3796,1774.9,877367.7,1511.4,2.384814815
Other  Rabi pulses,2006,Rabi       ,2,5421,1774.9,1850007.06,3186.92,0.508076923
Peas & beans (Pulses),2006,Rabi       ,2,6044,1774.9,2444752.53,4211.46,0.616666667
Potato,2006,Whole Year ,2,8907,1774.9,9924599.52,17096.64,6.657407407
Rapeseed &Mustard,2006,Rabi       ,2,10975,1774.9,30449384.46,52453.72,0.495185185
Rice,2006,Autumn     ,2,11757,1774.9,48458410.11,83477.02,1.028148148
Rice,2006,Summer     ,2,11462,1774.9,39905671.41,68743.62,1.837037037
Rice,2006,Winter     ,2,13086,1774.9,192158468.4,331022.34,1.269259259
Sesamum,2006,Kharif     ,2,5229,1774.9,1708504.38,2943.16,0.496666667
